locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,,mdr,mdr,mdr,,,,,mandar,mandar,,,,,曼达语,,individual,living,,FALSE,,
,,,men,men,men,,,,mɛnde,"mende (sierra leone), mende",mendé,,менде,,,门德语,,individual,living,,FALSE,,
,,,mga,mga,mga,,,,,"middle irish (900-1200), middle irish",irlandais moyen,,среднеирландский,irlandés medio,,中古爱尔兰语,,individual,historical,,FALSE,,
,,,mic,mic,mic,,,,mi'gmaq,"mi'kmaq, micmac",micmac,,микмак,micmac,,米克马克语,,individual,living,,FALSE,,
,,,min,min,min,,min,,"baso minangkabau, minangkabau",minangkabau,minangkabau,minangkabau,минангкабау,,,米南卡保语,msa,individual,living,,FALSE,,
,,,mis,mis,mis,,,,,uncoded languages,,,,,,,,special,special,,FALSE,,
,,,mkh,mkh,,,,,,mon-khmer languages,,,,,,,,collective,,,,,
,,,mnc,mnc,mnc,,,,ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ ᠪᡝ,manchu,mandchou,mandschurisch,манчу,,,满语,,individual,living,,FALSE,,
,,,mni,mni,mni,,,,মৈইতৈইলোন,manipuri,manipuri,manipuri,манипури,manipurí,,曼尼普尔语,,individual,living,,FALSE,,
,,,mno,mno,,,,,,manobo languages,,,,,,,,collective,,,,,
,,,moh,moh,moh,,,,kanien’kéha,mohawk,mohawk,mohawk,мохаук,mohawk,,莫霍克语,,individual,living,,FALSE,,
,,,mos,mos,mos,,,,mòoré,mossi,moré,mòoré,моей,,,莫西语,,individual,living,,FALSE,,
,,,mul,mul,mul,,,,,"multiple languages, (multiple)",(multiple),(mehrere),разных семей языки,,,,,special,special,,FALSE,,
,,,mun,mun,,,,,,munda languages,,,,,,,,collective,,,,,
,,,mus,mus,mus,,mus,,"mvskokē, muskogee","creek, muscogee",muskogee,,крик,maskoki,,"克里克语, 穆斯科格语",,individual,living,,FALSE,,
,,,mwl,mwl,mwl,,mwl,,"mirandês, mirandés",mirandese,mirandais,mirandês,,mirandés,,米兰德斯语,,individual,living,,FALSE,,
,,,mwr,mwr,mwr,,,,मारवाड़ी,marwari,marvari,,марвари,marwari,,马尔瓦利语,,macro,living,,FALSE,,
,,,myn,myn,,,,,maya,"mayan, mayan languages",,,,,,,,collective,,,,,
,,,myv,myv,myv,,myv,,"эрзя, эрзянь, erzjanj kelj, erźań keľ",erzya,erza,ersjanisch,эрзянский,mordvino,,厄尔兹亚语,,individual,living,,FALSE,,
,,,nah,nah,,,nah,,"nāhuatl, náhuatl","nahuatl languages, nahuatl",,,,,,,,collective,,,,,
,,,nai,nai,,,,,,north american indian languages,,,,,,,,collective,,,,,
,,,nap,nap,nap,,nap,,"napulitano, nnapulitano, ’o nnapulitano",neapolitan,napolitain,neapolitanisch,неаполитанский,napolitano,napoletano,拿坡里语,,individual,living,,FALSE,,
,,,nds,nds,nds,,nds,,"plattdüütsch, neddersass'sch","low german, low saxon",bas allemand,"niederdeutsch, niedersächsisch",нижненемецкий,bajo sajón,,低地撒克逊语,,individual,living,,FALSE,,
,,,new,new,new,,new,,नेपाल भाषा,"newari, nepal bhasa, newar",newari,newari,неварский,,,尼瓦尔语,,individual,living,,FALSE,,
,,,ngf,ngf,,,,,,trans-new guinea languages,,,,,,,,collective,,,,,
,,,nia,nia,nia,,,,,nias,nias,nias,ниас,,,尼亚斯语,,individual,living,,FALSE,,
,,,nic,nic,,,,,,niger-kordofanian languages,,,,,,,,collective,,,,,
,,,niu,niu,niu,,,,ko e vagahau niuē,niuean,niué,nieuanisch,ниуэ,,,纽埃语,,individual,living,,FALSE,,
,,,nog,nog,nog,,,,ногай,nogai,nogaï,nogaisch,ногайский,nogay,,诺盖语,,individual,living,,FALSE,,
,,,non,non,non,,,,norrǿna,old norse,vieux norrois,altnordisch,старонорвежский,antiguo nórdico,,古诺尔斯语,,individual,historical,,FALSE,,
,,,nqo,nqo,nqo,,,,,n'ko,,,,,,,,individual,living,,FALSE,,
,,,nso,nso,nso,,nso,,"sepêdi, sepedi","pedi, northern sotho, sepedi, pedi northern sotho",sotho du nord,nord-sotho,северный сото,sepedi,,北索托语,,individual,living,,FALSE,,
,,,nub,nub,,,,,,nubian languages,,,,,,,,collective,,,,,
,,,nwc,nwc,nwc,,,,,"classical newari, classical nepal bhasa, old newari",newari classique,,,,,古典尼瓦尔语,,individual,historical,,FALSE,,
,,,nym,nym,nym,,,,kinyamwezi,nyamwezi,nyamwezi,,ньямвези,nyamwezi,,尼扬韦齐语,,individual,living,,FALSE,,
,,,nyn,nyn,nyn,,,,,nyankole,nyankolé,,ньянколе,,,尼扬科勒语,,individual,living,,FALSE,,
,,,nyo,nyo,nyo,,,,runyoro,nyoro,nyoro,,ньоро,,,尼奥罗语,,individual,living,,FALSE,,
,,,nzi,nzi,nzi,,,,,nzima,nzema,,нзима,,,恩济马语,,individual,living,,FALSE,,
,,,omq,omq,,,,,,oto-manguean languages,,,,,,,,collective,,,,,
,,,omv,omv,,,,,,omotic languages,,,,,,,,collective,,,,,
,,,osa,osa,osa,,,,,osage,osage,,оседжи,osage,,奥萨格语,,individual,living,,FALSE,,
,,,ota,ota,ota,,,,لسان عثمانى,"ottoman turkish (1500-1928), ottoman turkish, ottoman turkish (1500–1928)",turc ottoman,osmanisch,старотурецкий,turco-otomano,,奥斯曼土耳其语,,individual,historical,,FALSE,,
,,,oto,oto,,,,,,"otomian languages, otomí",,,,,,,,collective,,,,,
,,,paa,paa,,,,,,papuan languages,,,,,,,,collective,,,,,
,,,pag,pag,pag,,pag,,"pangasinán, pangasinan",pangasinan,pangasinan,,пангасинан,,,邦阿西楠语,,individual,living,,FALSE,,
,,,pal,pal,pal,,,,,pahlavi,pahlavi,,пехлеви,,,钵罗钵语,,individual,ancient,,FALSE,,
,,,pam,pam,pam,,pam,,kapampangan,"pampanga, kapampangan",pampangan,pampango,пампанга,,,邦板牙语,,individual,living,,FALSE,,
,,,pap,pap,pap,,pap,,papiamentu,"papiamento, papiamentu",papiamento,papiamentu,папьяменто,papiamento,,帕皮亚门托语,,individual,living,,FALSE,,
,,,pau,pau,pau,,,,tekoi ra belau,palauan,palau,palauanisch,палау,palauano,,"帕劳语, 帛琉语",,individual,living,,FALSE,,
,,,peo,peo,peo,,,,,"old persian (ca. 600-400 b.c.), old persian, old persian (ca.600-400 b.c.)",vieux perse (ca. 600–400 av. j.-c.),altpersisch,староперсидский,persa antiguo,,古波斯语,,individual,historical,,FALSE,,
,,,phi,phi,,,,,,philippine languages,,,,,,,,collective,,,,,
,,,phn,phn,phn,,,,,phoenician,phénicien,phönizisch,финикийский,fenicio,,腓尼基语,,individual,ancient,,FALSE,,
,,,plf,plf,,,,,,central malayo-polynesian languages,,,,,,,,collective,,,,,
,,,pon,pon,pon,,,,,pohnpeian,pohnpei,pohnpeianisch,понапе,pohnpei,,波纳佩语,,individual,living,,FALSE,,
,,,poz,poz,,,,,,malayo-polynesian languages,,,,,,,,collective,,,,,
,,,pqe,pqe,,,,,,eastern malayo-polynesian languages,,,,,,,,collective,,,,,
,,,pqw,pqw,,,,,,western malayo-polynesian languages,,,,,,,,collective,,,,,
,,,pra,pra,,,,,,prakrit languages,,,,,,,,collective,,,,,
,,,pro,pro,pro,,,,,"old provençal (to 1500), old provençal, old occitan (to 1500)",provençal ancien (jusqu'à 1500),altprovençalisch,старопровансальский,provenzal antiguo,,古普罗旺斯语,,individual,historical,,FALSE,,
,,,qwe,qwe,,,,,,quechuan languages,,,,,,,,collective,,,,,
,,,raj,raj,raj,,,,,rajasthani,rajasthani,,раджастхани,rayastaní,,拉贾斯坦语,,macro,living,,FALSE,,
,,,rap,rap,rap,,,,rapanui,rapanui,rapanui,rapanui,,,,"拉帕努伊语, 复活节岛语",,individual,living,,FALSE,,
,,,rar,rar,rar,,,,"māori kūki 'āirani, kūki'āirani","rarotongan, cook islands maori, cook islands māori",rarotonga,rarotonganisch,раротонга,,,拉罗汤加语,,individual,living,,FALSE,,
,,,roa,roa,,,,,,romance languages,,,,,,,,collective,,,,,
,,,rom,rom,rom,,,,रोमानो,romany,rromani {sic},romani,цыганский,,,"罗姆语, 吉普赛语",,macro,living,,FALSE,,
,,,rup,rup,rup,,roa-rup,,"armăneashce, armãneashce","macedo-romanian, aromanian, arumanian, macedo- romanian",aromoun,aromunisch,аромунский,aromùnico,,"阿罗马尼亚语, 马其顿-罗马尼亚语",,individual,living,,FALSE,,
,,,sad,sad,sad,,,,,sandawe,sandawe,,сандаве,,,桑达韦语,,individual,living,,FALSE,,
,,,sah,sah,sah,,sah,,"саха, саха тыла, saxa tyla, saxa tıla","yakut, sakha",iakoute,jakutisch,якутский,yakuto,,雅库特语,,individual,living,,FALSE,,
,,,sai,sai,,,,,,south american indian languages,,,,,,,,collective,,,,,
,,,sal,sal,,,,,,salishan languages,,,,,,,,collective,,,,,
,,,sam,sam,sam,,,,"ארמית, arāmît",samaritan aramaic,araméen samaritain,,самаритянский арамейский,,,萨马利亚阿拉米语,,individual,extinct,,FALSE,,
,,,sas,sas,sas,,,,,sasak,sasak,sasak,,,,萨萨克语,,individual,living,,FALSE,,
,,,sat,sat,sat,,,,संथाली,santali,santal,santali,,santalí,,桑塔利语,,individual,living,,FALSE,,
,,,scn,scn,scn,,scn,,sicilianu,sicilian,sicilien,sizilianisch,сицилийский,siciliano,,西西里语,,individual,living,,FALSE,,
,,,sco,sco,sco,,sco,,scots,scots,scot(s),tiefland-schottisch,шотландский,escocés,,苏格兰语,,individual,living,,FALSE,,
,,,sdv,sdv,,,,,,eastern sudanic languages,,,,,,,,collective,,,,,
,,,sel,sel,sel,,,,шӧльӄумыт,selkup,selkoup,selkupisch,селькупский,selkup,,塞尔库普语,,individual,living,,FALSE,,
,,,sem,sem,,,,,,semitic languages,,,,,,,,collective,,,,,
,,,sga,sga,sga,,,,,"old irish (to 900), old irish",irlandais ancien,altirisch,староирландский,irlandés antiguo,,古爱尔兰语,,individual,historical,,FALSE,,
,,,sgn,sgn,,,,,,sign languages,,,,,,,,collective,,,,,
,,,shn,shn,shn,,,,,shan,chan,,шанский,,,掸语,,individual,living,,FALSE,,
,,,sid,sid,sid,,,,sidámo,sidamo,sidamo,sidama,сидама,,,锡达莫语,,individual,living,,FALSE,,
,,,sio,sio,,,,,,siouan languages,,,,,,,,collective,,,,,
,,,sit,sit,,,,,,sino-tibetan languages,,,,,,,,collective,,,,,
,,,sla,sla,,,,,,slavic languages,,,,,,,,collective,,,,,
,,,sma,sma,sma,,,,saemi,southern sami,sami du sud,südsamisch,южносаамский,,,南萨米语,,individual,living,,FALSE,,
,,,smi,smi,,,,,,sami languages,,,,,,,,collective,,,,,
,,,smj,smj,smj,,,,sámi,lule sami,sami de lule,lulesamisch,луле-саамский,,,律勒欧-萨米语,,individual,living,,FALSE,,
,,,smn,smn,smn,,,,säämi,inari sami,sami d'inari,inarisamisch,инари-саамский,,,伊纳里-萨米语,,individual,living,,FALSE,,
,,,sms,sms,sms,,,,sää'm,skolt sami,sami skolt,skoltsamisch,колтта-саамский,,,斯科特-萨米,,individual,living,,FALSE,,
,,,snk,snk,snk,,,,soninkanxaane,soninke,soninké,,,,,索宁克语,,individual,living,,FALSE,,
,,,sog,sog,sog,,,,,sogdian,sogdien,sogdisch,согдийский,,,粟特语,,individual,ancient,,FALSE,,
,,,son,son,,,,,,songhai languages,,,,,,,,collective,,,,,
,,,srn,srn,srn,,srn,,"sranang tongo, sranantongo","sranan tongo, sranan",créole surinamien,surinamisch,сранан,sranan,,苏里南汤加语,,individual,living,,FALSE,,
,,,srr,srr,srr,,,re,,"serer, seereer, sereer",sérère,serer,,,,塞雷尔语,,individual,living,,FALSE,https://en.wikipedia.org/wiki/Serer_language,
,,,ssa,ssa,,,,,,nilo-saharan languages,,,,,,,,collective,,,,,
,,,suk,suk,suk,,,,,sukuma,sukuma,,сукума,,,苏库马语,,individual,living,,FALSE,,
,,,sus,sus,sus,,,,,susu,soussou,,сусу,,,苏苏语,,individual,living,,FALSE,,
,,,sux,sux,sux,,,,eme-ĝir,sumerian,sumérien,sumerisch,шумерский,sumerio,,苏美尔语,,individual,ancient,,FALSE,,
,,,syc,syc,syc,,,,,classical syriac,,,,,,古典叙利亚语,,individual,historical,,FALSE,,
,,,syd,syd,,,,,,samoyedic languages,,,,,,,,collective,,,,,
,,,syr,syr,syr,,,,ܣܘܪܝܐܝܐ,syriac,syriaque,syrisch,сирийский,,,古叙利亚语,,macro,living,,FALSE,,
,,,tai,tai,,,,,,tai languages,,,,,,,,collective,,,,,
,,,tbq,tbq,,,,,,tibeto-burman languages,,,,,,,,collective,,,,,
,,,tem,tem,tem,,,,,timne,temne,temnisch,,,,"泰姆奈语, 滕内语",,individual,living,,FALSE,,
,,,ter,ter,ter,,,,,tereno,tereno,,терено,,,特列纳语,,individual,living,,FALSE,,
,,,tet,tet,tet,,tet,,tetun,tetum,tetum,tetun,,,,"特塔姆语, 德顿语",,individual,living,,FALSE,,
,,,tig,tig,tig,,,,tigré,tigre,tigré,,тигре,tigré,,提格雷语,,individual,living,,FALSE,,
,,,tiv,tiv,tiv,,,,,tiv,tiv,,тиви,,,蒂夫语,,individual,living,,FALSE,,
,,,tkl,tkl,tkl,,,,,tokelau,tokelau(an),tokelauanisch,токелау,,,托克劳语,,individual,living,,FALSE,,
,,,tlh,tlh,tlh,,,,tlhingan hol,"klingon, tlhingan-hol",klingon,klingonisch,,klingon,,克林贡语,,individual,constructed,,FALSE,,
,,,tli,tli,tli,,,,lingít,tlingit,tlingit,tlingit,тлингит,tlingit,,特林吉特语,,individual,living,,FALSE,,
,,,tmh,tmh,tmh,,,,,tamashek,tamacheq,,тамашек,,,塔马舍克语,,macro,living,,FALSE,,
,,,tog,tog,tog,,,,chitonga,"tonga (nyasa), tonga",tonga (nyasa),,тонга (ньяса),,,,,individual,living,,FALSE,,
,,,tpi,tpi,tpi,,tpi,,tok pisin,tok pisin,tok pisin,tok pisin,ток-писин,,,"托克皮辛语, 巴布亚皮钦语",,individual,living,,FALSE,,
,,,trk,trk,,,,,,turkic languages,,,,,,,,collective,,,,,
,,,tsi,tsi,tsi,,,,sm’algyax̣,tsimshian,tsimshian,tsimshian,цимшиан,tsimshian,,钦西安语,,individual,living,,FALSE,,
,,,tum,tum,tum,,tum,,chitumbuka,tumbuka,tumbuka,tumbuka,тумбука,,,奇图姆布卡语,,individual,living,,FALSE,,
,,,tup,tup,,,,,,tupi languages,,,,,,,,collective,,,,,
,,,tut,tut,,,,,,altaic languages,,,,,,,,collective,,,,,
,,,tuw,tuw,,,,,,tungus languages,,,,,,,,collective,,,,,
,,,tvl,tvl,tvl,,,,gana tuvalu,"tuvalu, tuvaluan",tuvalu,tuvaluanisch,тувалу,,,图瓦卢语,,individual,living,,FALSE,,
,,,tyv,tyv,tyv,,tyv,,тыва,"tuvinian, tuvan",touva,tuwinisch,тувинский,,,图瓦语,,individual,living,,FALSE,,
,,,udm,udm,udm,,udm,,"удмурт, удмурт кыл",udmurt,oudmourte,udmurtisch,удмуртский,udmurto,,乌德穆尔特语,,individual,living,,FALSE,,
,,,uga,uga,uga,,,,,ugaritic,ougaritique,ugaritisch,угаритский,ugarítico,,乌加里特语,,individual,ancient,,FALSE,,
,,,umb,umb,umb,,,,,umbundu,umbundu,,умбунду,,,翁本杜语,,individual,living,,FALSE,,
,,,und,und,und,,,,,undetermined,indéterminée,,неидентифицированный,indeterminada,,,,special,special,*,FALSE,,
,,,urj,urj,,,,,,uralic languages,,,,,,,,collective,,,,,
,,,vai,vai,vai,,,,,vai,vaï,vai,ваи,,,瓦伊语,,individual,living,,FALSE,,
,,,vot,vot,vot,,,,vaďďa,votic,vote,wotisch,водский,votio,,沃提克语,,individual,living,,FALSE,,
,,,wak,wak,,,,,,wakashan languages,,,,,,,,collective,,,,,
,,,wal,wal,wal,,,,,"wolaytta, wolaitta",wolaitta,,воламо,,,瓦拉莫语,,individual,living,,FALSE,,
,,,war,war,war,,war,,winaray,"waray (philippines), waray, waray-waray",waray,waray-waray,варай,,,瓦赖语,,individual,living,,FALSE,,
,,,was,was,was,,,,"wa∙šiw, wá:šiw ʔítlu",washo,washo,washoe,вашо,washo,,瓦肖语,,individual,living,,FALSE,,
,,,wen,wen,,,,,,sorbian languages,,,,,,,,collective,,,,,
,,,xal,xal,xal,,xal,,хальмг,"kalmyk, oirat","kalmouk, oïrat",kalmückisch,,kalmyk,,"卫拉特语, 卡尔梅克语",,individual,living,,FALSE,,
,,,xgn,xgn,,,,,,mongolian languages,,,,,,,,collective,,,,,
,,,xnd,xnd,,,,,,na-dene languages,,,,,,,,collective,,,,,
,,,yao,yao,yao,,,,,yao,yao,,,,,,,individual,living,,FALSE,,
,,,yap,yap,yap,,,,,yapese,yapois,,,,,雅浦语,,individual,living,,FALSE,,
,,,ypk,ypk,,,,,,yupik languages,,,,,,,,collective,,,,,
,,,zap,zap,zap,,,,,zapotec,zapotèque,,сапотекский,zapoteco,,萨波特克语,,macro,living,zapotec,FALSE,,
,,,zbl,zbl,zbl,,,,,"blissymbols, bliss, blissymbolics",symboles bliss,bliss-symbole,блиссимволика,,,布利斯符号,,individual,constructed,constructed,FALSE,,
,,,zen,zen,zen,,,,,zenaga,zenaga,,зенага,,,哲纳加语,,individual,living,afro-asiatic,FALSE,,
,,,zgh,zgh,zgh,,,,,standard moroccan tamazight,,,стандартный марокканский тамазигхт,,,,,individual,living,afro-asiatic,FALSE,,
,,,zhx,zhx,,,,,,chinese languages,,,,,,,,collective,,,,,
,,,zle,zle,,,,,,east slavic languages,,,,,,,,collective,,,,,
,,,zls,zls,,,,,,south slavic languages,,,,,,,,collective,,,,,
,,,zlw,zlw,,,,,,west slavic languages,,,,,,,,collective,,,,,
,,,znd,znd,,,,,,zande languages,,,,,,,,collective,,,,,
,,,zun,zun,zun,,,,,zuni,zuni,,зуни (зуньи),,,祖尼语,,individual,living,isolate,FALSE,,
,,,zxx,zxx,zxx,,,,,"no linguistic content, not applicable, (none)",(aucun),(keine),(нет),,,,,special,special,,FALSE,,
,,,zza,zza,zza,,,,,"zaza, zazaki",,,"зазаки, димили",,,扎扎其语,,macro,living,indo-european,FALSE,,
,,,,,aaa,,,,,ghotuo,,,гхотуо,,,,,individual,living,niger-congo,FALSE,,
,,,,,aab,,,,,alumu-tesu,,,алуму-тесу,,,,,individual,living,niger-congo,FALSE,,
,,,,,aac,,,,,ari,,,ари,,,阿里语,,individual,living,trans-new guinea,FALSE,,
,,,,,aad,,,,,amal,,,амал,,,,,individual,living,sepik,FALSE,,
,,,,,aae,,,,,"arbëreshë albanian, albanian (arbëreshë dialect)",albanais,albanisch,албанский,,,,sqi,individual,living,indo-european,FALSE,,
,,,,,aaf,,,,,aranadan,,,аранадан,,,,,individual,living,dravidian,FALSE,,
,,,,,aag,,,,,ambrak,,,амбрак,,,,,individual,living,torricelli,FALSE,,
,,,,,aah,,,,,"abu' arapesh, abu’ arapesh",,,абу-арапеш,,,,,individual,living,torricelli,FALSE,,
,,,,,aai,,,,,arifama-miniafia,,,арифама-маниафиа,,,,,individual,living,austronesian,FALSE,,
,,,,,aak,,,,,ankave,,,анкаве,,,,,individual,living,trans-new guinea,FALSE,,
,,,,,aal,,,,afaë,afade,,,афаде,,,,,individual,living,afro-asiatic,FALSE,,
,,,,,aam,,,,,aramanik,,,араманик,,,,,individual,living,nilo-saharan,FALSE,,
,,,,,aan,,,,,anambé,,,анамбе,anambé,,,,individual,living,tupian,FALSE,,
,,,,,aao,,,,,"algerian saharan arabic, arabic (algerian sahara)",arabe (sahara algérien),arabisch (algerische sahara),арабский (сахара),,,阿尔及利亚撒哈拉阿拉伯语,ara,individual,living,arabic,FALSE,,
,,,,,aap,,,,,pará arára,,,пара-арара,"arára, pará",,,,individual,living,cariban,FALSE,,
,,,,,aaq,,,,,"eastern abnaki, abnaki (eastern)",,,абенаки (восточный),,,,,individual,extinct,algic,FALSE,,
,,,,,aas,,,,,aasáx,,,аса,,,,,individual,living,afro-asiatic,FALSE,,
,,,,,aat,,,,,"arvanitika albanian, albanian (arvanitika)",albanais (arvanitika),,албанский (арванитика),,,,sqi,individual,living,indo-european,FALSE,,
,,,,,aau,,,,,abau,,,абау,,,,,individual,living,sepik,FALSE,,
,,,,,aaw,,,,,solong,,,солонг,,,,,individual,living,western oceanic,FALSE,,
,,,,,aax,,,,,mandobo atas,,,мандобо-атас,,,,,individual,living,trans-new guinea,FALSE,,
,,,,,aay,,,,,aariya,,,аария,,,,,individual,living,indo-aryan,TRUE,,
,,,,,aaz,,,,,amarasi,,,амараси,,,,,individual,living,,FALSE,,
,,,,,aba,,,,,abé,,,абе,,,,,individual,living,niger-congo,FALSE,,
,,,,,abb,,,,,bankon,,,банкон,,,,,individual,living,niger-congo,FALSE,,
,,,,,abc,,,,,ambala ayta,,,амбала-айта,,,,,individual,living,austroneasian,FALSE,,
,,,,,abd,,,,,"manide, camarines norte agta",,,агта (камаринес норте),,,,,individual,living,austronesian,FALSE,,
,,,,,abe,,,,wôbanakiôdwawôgan,western abnaki,abénaquis ouest,,западный абенаки,,,,,individual,living,algic,FALSE,,
,,,,,abf,,,,,abai sungai,,,абай-сунгай,,,,,individual,living,austronesian,FALSE,,
,,,,,abg,,,,,abaga,,,абага,,,,,individual,living,trans-guinea,FALSE,,
,,,,,abh,,,,,"tajiki arabic, arabic (tajiki)",arabe (tadjik),arabisch (tadschikistan),арабский (таджикский),,,塔吉克阿拉伯语,ara,individual,living,arabic,FALSE,,
,,,,,abi,,,,,abidji,,,абиджи,,,,,individual,living,niger-congo,FALSE,,
,,,,,abj,,,,,aka-bea,,,беа,,,,,individual,extinct,great andamanese,FALSE,,
,,,,,abl,,,,,"lampung nyo, abung",,,абунг,,,,,individual,living,austronesian,FALSE,,
,,,,,abm,,,,,abanyom,,,абаньом,,,,,individual,living,niger-congo,FALSE,,
,,,,,abn,,,,,abua,,,абуа,,,阿布安语,,individual,living,niger-congo,FALSE,,
,,,,,abo,,,,,abon,,,абон,,,,,individual,living,niger-congo,FALSE,,
,,,,,abp,,,,,"abellen ayta, abenlen ayta",,,абенлен-айта,,,,,individual,living,austronesian,FALSE,,
,,,,,abq,,,,абаза,abaza,abaza,abasinisch,абазинский,abaza,,阿巴札语,,individual,living,northwest caucasian,FALSE,,
,,,,,abr,,,,,abron,,,аброн,,,,,individual,living,niger-congo,FALSE,,
,,,,,abs,,,,,ambonese malay,malais (ambonais),,амбонский малайский,,,,,individual,living,austronesian,FALSE,,
,,,,,abt,,,,,ambulas,,,амбулас,,,,,individual,living,papuan,FALSE,,
,,,,,abu,,,,ɔbule ɔyʋɛ,abure,,,абуре,,,,,individual,living,niger-congo,FALSE,,
,,,,,abv,,,,,"baharna arabic, arabic (baharna)",arabe (baharna),arabisch (baharna),арабский (бахарна),,,,ara,individual,living,arabic,FALSE,,
,,,,,abw,,,,,pal,,,пал,,,,,individual,living,trans-new guinea,FALSE,,
,,,,,abx,,,,,inabaknon,,,инабакнон,,,,,individual,living,austronesian,FALSE,,
,,,,,aby,,,,,aneme wake,,,анеме-ваке,,,,,individual,living,-,FALSE,,
,,,,,abz,,,,,abui,,,абуи,,,,,individual,living,trans-new guinea,FALSE,,
,,,,,aca,,,,,achagua,,,ачагуа,,,,,individual,living,arawakan,FALSE,,
,,,,,acb,,,,,áncá,,,анка,,,,,individual,living,niger-congo,FALSE,,
,,,,,acc,,,,,cubulco achí,,,кубулькский ачи,,,,,individual,living,mayan,TRUE,,
,,,,,acd,,,,,gikyode,,,гикьоде,,,,,individual,living,niger-congo,FALSE,,
,,,,,acf,,,,kwéyòl,saint lucian creole french,créole français de sainte-lucie,,сент-люсийский креольский французский,,,圣卢西亚克里奥尔法语,,individual,living,french creole,FALSE,,
,,,,,aci,,,,,aka-cari,,,чариар,,,,,individual,extinct,great andamanese,FALSE,,
,,,,,ack,,,,,aka-kora,,,кора,,,,,individual,extinct,great andamanese,FALSE,,
,,,,,acl,,,,,akar-bale,,,акар-бале,,,,,individual,extinct,great andamanese,FALSE,,
,,,,,acm,,,,,"mesopotamian arabic, arabic (mesopotamian)",arabe (mésopotamien),arabisch (mesopotamisch),арабский (месопотамский),,,美索不达米亚阿拉伯语,ara,individual,living,arabic,FALSE,,
,,,,,acn,,,,mönghsa,achang,,,ачанг,,,阿昌语,,individual,living,sino-tibetan,FALSE,,
,,,,,acp,,,,,eastern acipa,,,восточный акипа,,,,,individual,living,niger-congo,FALSE,,
,,,,,acq,,,,,"ta'izzi-adeni arabic, ta'izzi-adeni spoken arabic",arabe (parlé de ta’izzi-adeni),,арабский (таиззи-адени),,,,ara,individual,living,arabic,FALSE,,
,,,,,acr,,,,,"achi, rabinal achí",,,рабиналский ачи,,,,,individual,living,mayan,FALSE,,
,,,,,acs,,,,,acroá,,,акроа,,,,,individual,extinct,macro-ge,FALSE,,
,,,,,act,,,,achterhooks,"achterhoeks, achterhooks",,,ахтерхучки (диалект),,,,,individual,living,indo-european,FALSE,,
,,,,,acu,,,,,achuar-shiwiar,,,ачуар-шивиар,,,,,individual,living,jiwaroan,FALSE,,
,,,,,acv,,,,ajúmmááwí,achumawi,,,ачумави,,,,,individual,living,palaihnihan,FALSE,,
,,,,,acw,,,,,"hijazi arabic, arabic (hijazi)",arabe (hijazi),arabisch (hijazi),арабский (хиджази),,,,ara,individual,living,arabic,FALSE,,
,,,,,acx,,,,,"omani arabic, arabic (omani)",arabe (omanais),arabisch (oman),арабский (оманский),,,,ara,individual,living,arabic,FALSE,,
,,,,,acy,,,,,"cypriot arabic, arabic (cypriot)",arabe (chypriote),arabisch (zypern),арабский (киприотский),,,,ara,individual,living,arabic,FALSE,,
,,,,,acz,,,,,acheron,,,ачерон,,,,,individual,living,niger-congo,FALSE,,
,,,,,adb,,,,,adabe,,,адабе,,,,,individual,living,trans-new guinea,FALSE,,
,,,,,add,,,,,dzodinka,,,дзодинка,,,,,individual,living,niger-congo,FALSE,,
,,,,,ade,,,,,adele,,,аделе,,,阿德勒语,,individual,living,niger-congo,FALSE,,
,,,,,adf,,,,,"dhofari arabic, arabic (dhofari)",arabe (dhofari),arabisch (dofari),арабский (дхофари),,,,ara,individual,living,arabic,FALSE,,
,,,,,adg,,,,,andegerebinha,,,антекерепиня,,,,,individual,living,pama-nyungan,FALSE,,
,,,,,adh,,,,,adhola,,,адхола,,,,,individual,living,nilo-saharan,FALSE,,
,,,,,adi,,,,,adi,,,ади,,,"崩尼-博嘎尔语, 博嘎尔-珞巴语",,individual,living,sino-tibetan,FALSE,,
,,,,,adj,,,,mɔjukru,adioukrou,,,адиукру,,,,,individual,living,niger-congo,FALSE,,
,,,,,adl,,,,,"galo, adi (galo)",,,ади (гало),,,,,individual,living,sino-tibetan,FALSE,,
,,,,,adn,,,,,adang,,,аданг,,,,,individual,living,trans-new guinea,FALSE,,
,,,,,ado,,,,,abu,,,абу,,,,,individual,living,ramu-lower sepik,FALSE,,
,,,,,adp,,,,,adap,,,адап,,,,,individual,living,sino-tibetan,FALSE,,
,,,,,adq,,,,,adangbe,,,адангбе,,,,,individual,living,niger-congo,FALSE,,
,,,,,adr,,,,,adonara,,,адонара,,,,,individual,living,austronesian,FALSE,,
,,,,,ads,,,,,adamorobe sign language,langue des signes adamorobe,,адаморобе жестовый,,,,,individual,living,west african gestural area,FALSE,,
,,,,,adt,,,,yura ngawarla,"adnyamathanha, adynyamathanha",,,атьняматаня,,,,,individual,living,pama-nyungan,FALSE,,
,,,,,adu,,,,,aduge,,,адуге,,,,,individual,living,niger-congo,FALSE,,
